262463,23106,37,1476,37
132233,206819,3,12,3
36161,54004,2,327,2
270248,7195,34,1413,0
23198,3356,3,5595,3
48141,5483,2,104,2
206496,29119,2,280,13
12610,8823,2,53,2
263024,267313,6,53,6
264565,3549,4,2193,4
202511,203950,2,2,3
45295,36351,83,2827,83
262441,28283,5,141,5
12984,8251,2,30,3
209258,2856,2,221,2
203684,41881,2,19,2
264067,8167,2,211,2
21922,14946,5,2,7
5468,8369,45,547,0
396502,21559,2,29,2
28267,267613,36,3893,37
204781,42337,2,111,2
39803,42234,2,2,2
18081,6939,8,8235,8
395914,11404,4,255,4
205079,31133,8,1365,8
14636,24247,2,14,2
9493,9318,2,487,2
201774,8732,3,973,3
131442,9498,2,1151,2
395990,174,2,6078,2
26992,7018,2,2517,2
34768,37497,60,1701,0
395932,5078,2,30,2
262303,1916,2,1954,2
11313,7018,7,2516,7
29033,1273,3,306,226
264119,16735,4,961,12
13188,57544,24,2,2
43798,3326,434,837,0
202269,20473,3,591,3
29054,6461,2,2030,2
132196,7713,5,2953,5
38605,132240,2,4,7
62177,13030,2,1107,2
7153,174,2,6077,2
264346,28260,29,1545,2
49184,9049,2,748,2
22769,64050,4,168,4
50797,42097,4,6,4
137699,4134,2,277,5
13452,174,2,6076,2
267085,262612,34,1290,34
31317,57695,83,2350,0
210330,3326,2,836,2
45404,4766,2,570,2
266143,263047,39,1262,39
26470,13789,2,109,2
45495,63956,14,809,817
22880,3549,2,2192,2
11376,46887,2,770,2
32074,33667,3,139,3
15706,24757,15,6,6
209995,15802,2,194,2
10423,8220,17,1950,17
206487,208931,11,2,12
50767,6939,10,8234,12
263948,16735,2,960,2
269307,268925,2,52,2
12346,13293,7,21,31
26817,6461,2,2029,2
41554,198297,2,23,2
29503,29076,4,675,4
266783,27919,2,30,2
201740,9063,2,130,2
13621,209,2,1790,2
15790,9145,2,322,2
266088,28186,8,3142,8
51159,50304,38,1173,0
396042,54004,2,326,2
394566,20454,2,33,6
201800,9002,4,1455,4
14598,5650,2,253,2
43656,202984,13,1122,13
22268,6939,3,8233,3
11962,4323,3,1482,3
19460,3257,11,2008,11
265795,262150,2,17,2
40067,6461,2,2028,2
19462,19024,2,65,2
395617,209,2,1789,3
204860,60501,12,4472,12
396320,6461,2,2027,5
393424,2914,12,1736,12
26639,4323,2,1481,2
52415,7303,2,188,2
23620,2516,6,314,6
264000,262761,2,96,2
11588,12989,2,228,2
43279,3302,2,66,2
58155,201706,2,43,2
269254,263877,2,47,2
53975,3549,4,2191,4
24206,7597,7,128,7
12971,39120,21,3877,23
20896,286,2,361,2
197668,44677,2,5,2
14911,7018,2,2515,2
137940,131477,3,135,13
57353,56665,19,2229,19
269242,269595,2,8,2
53664,174,2,6075,2
2020,7046,2,16,2
209701,31261,2,594,2
5696,7018,2,2514,2
395949,701,3,1380,3
45597,3549,3,2190,3
36104,3356,3,5594,3
132994,9829,2,49,5
395192,46887,2,769,2
21553,10352,2,8,2
204260,1273,2,305,2
29503,41095,3,1572,3
42514,20485,4,1207,5
22847,13536,4,156,4
15209,3356,2,5593,2
52602,28368,3,121,3
60865,20895,3,6,3
265935,265457,2,7,9
43492,51373,2,11,2
394122,3257,3,2007,3
133854,58717,10,164,11
19215,7018,2,2513,2
328449,174,2,6074,2
38683,4766,2,569,2
23427,7018,2,2512,2
57671,200044,4,445,4
262458,262903,9,22,0
18021,4768,2,43,2
19416,812,5,183,5
18694,21547,2,15,2
4609,136167,29,2,2
9513,17540,2,2,2
17038,209,3,1788,3
13971,6461,9,2026,19
11550,2381,22,209,26
15009,3356,3,5592,3
53929,5650,2,252,2
34867,8492,83,1774,85
55117,27272,3,13,3
56404,35320,4,290,4
49510,48166,2,483,2
24016,45489,5,140,6
28099,6429,4,36,38
328160,37148,4,43,4
20650,3257,3,2006,3
63255,701,3,1379,3
133311,9498,12,1150,24
198434,15830,6,301,6
267156,267613,2,3892,2
46877,25983,2,14,2
26906,11096,2,90,2
51839,8767,2,213,2
14312,13951,2,21,9
52998,262772,2,5,2
134855,4755,3,678,3
12611,33891,9,1277,16
209677,3356,2,5591,2
198728,9110,2,440,2
21935,209,2,1787,2
20001,19115,117,6,6
206970,21263,3,158,3
197480,5617,5,302,5
30925,61568,85,3815,2
